name,affected_address,email_address,case_number,date,constituent_email_1,d4_response_1,d4_staff_member,constituent_email_2,d4_response_2,topics
Erin,Hampden & Yosemite,erin@email.com,0,2024-09-20,"I’m a Denver native and longtime resident of Southeast Denver, more specifically Hampden Heights, and I’m incredibly disheartened to see all of the businesses along the Hampden corridor that continue to close. Most recently at Hampden and Yosemite alone, we lost Wells Fargo, Arby’s, and just this week Good Times. I’m hearing that these businesses are leaving because of the unchecked crime in the neighborhood and most of the buildings are sitting unoccupied for months, if not years. Something needs to change. Not only is it inconvenient to have to leave my neighborhood to access fast food or a bank, but it makes our neighborhood much less desirable for new residents and attracts even more crime and homelessness. Please let me know what is being done to address this. We desperately need your assistance as businesses continue to flee at a rapid rate.","Good afternoon Erin,

Thank you for reaching out to our office. Our office is aware of the business exits in our District and we have been with contact with the property managers to get updates on the properties but also updates on potential businesses moving in. These sites are private properties and could be vacant for a number of reasons. CPT Romero Campbell continues to partner with the Office of Economic Development and Opportunity to welcome more businesses into our district. If you have any more questions, please let me know. Thank you. ",Staff1,,,"Neighborhood,Police"
Jenn,Syracuse Way,jenn@email.com,0,2024-09-22," I'm writing to express my concern over the traffic on this road. Every day I see multiple cars speeding down the road, using the turn lane to pass other cars, it easily happens 5 times a day. I live on the corner and see it all the time. The amount of traffic, the speeding and this dangerous new ""driving"" is going to get someone killed. This is a neighborhood, not a highway. Please do some research on our road, we need to make it safer!","Good afternoon Jenn, 

Thank you for reaching out to our office. In order for a research to be conducted on S Syracuse Way, please submit a report to 311 and it will be redirected to DOTI. To get speed trailers parked on this street or at this intersection, you will need to reach out to DPD (3.Dist@denvergov.org) to put in the request. Be sure to share the exact street, intersections and direction the speed trailer should be placed at. Please let me know if you have any more questions. Thank you.",Staff1,"As a follow up to my earlier email, I've been sitting in my backyard for 15 mins, 3 cars have already driving by, passing in the center lane. One was doing it for a few blocks. In case you're not sure which Syracuse way is in your district, it's between Hampden Ave and Yale. I hope that you will do something to help, it's truly out of control. I look forward to hearing from you....",,"Neighborhood,Transit,Vehicle"
Keith,Yale bike lane,keith@email.com,0,2024-09-22,"Thank you for taking the time to meet with staff and community regarding the Yale bicycle lane. As I'd noted, one of the issues created by those bollards is the resulting failure to clear ice/snow and debris, which results in significantly reduced bike lane utility. I would like to call your attention to the bicycle lane introduced on S. Princeton/S Monoco pwky between Quincy and Hampden. Before the bicycle lane was introduced, plows dutifully cleared the vast majority of the street (which in places was two lanes, in others it was somewhat less but drivers tended to behave as if it was two everywhere). Since the introduction of the bicycle lane, the plows are very careful to plow only the auto lane and leave the bicycle lane unplowed. Since there are no bollards (thank goodness) there's no inherent reason for this behavior.  It would be nice if the plows were to return to the older custom of clearing as much of the street as they can, not as little as they can get away with. A secondary, and more minor issue is at the intersection of S. Olive. The bicycle lane is marked with a dotted line until well before the intersection, where it becomes a double solid line. I presume the intent is to force cars to get into the bicycle lane early to prevent cars from accidentally turning into a bicyclist. Having occasionally escorted beginning riders along that stretch,  this seems to work poorly. Either cars ignore it and turn late anyway (and which frankly I think is safer in this case) or they do get into the bicycle lane early, and are frustrated with the slow bicycles and start tailgating (and frightening the cyclists).  I appreciate the desire to reduce the chances of turning into the cyclists, but this doesn't seem to accomplish that. I don't have a better idea (other than to at least reduce the distance and perhaps use a second color to emphasize precisely where we expect the cars to cross into the lane). I thank you, in advance, for forwarding these suggests as appropriate.","Thank you for joining us on the ride and for your insights on your experience using the Yale bike lanes.  If we have any updates on the any actions taken because of the ride I will let you know.

For the Monaco/Princeton if you notice that the lanes are not plowed after a snow fall please report this to 311. This will help the city allocate resources to snow removal resources to bike lanes.

Please also report the intersection at S. Olive to 311 and the area engineers can tak a look at it.",Staff2,,,"Snow Removal,Transit,Vehicle"
Lannie,,lannie@email.com,0,2024-09-25,"Please forward this video to the mayor and governor if you wish.. this is what occurred on our street this week. Combing our neighborhood for open car doors, they did break into my neighbors car and stole things.

You really need to get a handle on this, out of control. They will be breaking into our homes before we know it.","Good afternoon Lannie, 

Thank you for reaching out to our office and sharing this video with us. Upon reviewing the video, I strongly encourage you to call 911 next time such incidents occur again. Please make reports with the Denver Police and share with them all videos and pictures so it can be entered into the system as evidence. This creates an extensive trail that the DPD officers can reference in the case of future crimes. If you have further questions please let me know. Thank you. ",Staff1,,,"Neighborhood,Policy,Vehicle"
Sharon,High Line Canal,sharon@email.com,0,2024-09-26,"I had contacted 311 a few times regarding a homeless camp behind my home at 2536 S. Leyden Street.  I believe that the police may have removed them and they are no longer there, but they have left a substantial amount of their belongings and trash/garbage in the canal, including a shopping cart.  It is located down in the canal and is hard to see because of the density of bushes and trees.  I won't walk on the trail any longer as I don't feel safe but have had neighbors tell me it is a mess and should be cleaned up as quickly as possible.  Pease let me know when I can expect it to be cleaned up because as the leaves fall and snow begins, I fear the unsightly mess will be covered up and may be there until next Spring, which is not acceptable.  I hope to hear from you soon! Your prompt attention to this matter is greatly appreciated.  ","Good afternoon Sharon, 

Thank you for reaching out to our office. I submitted a request a couple of days ago regarding this area and once the request has been processed, the appropriate clean up team should be out to clean up the area. Please keep me updated and let me know if you have further questions. Thank you. ",Staff1,,,"Trash,Snow Removal,Police,Homeless,Vegitation"
Aidan,,aidan@email.com,0,2024-09-26,"I hope you're enjoying this fall weather! I'm an organizer with the campaign for Initiatives 308 and 309, two animal welfare ballot initiatives that will be voted on in Denver this year. There has been a lot of buzz about these measures and we were recently invited to present and answer questions at a meeting of the La Alma-Lincoln Park RNO. It was such a delight to meet highly engaged citizens, we decided to reach out to other RNOs to see about visiting! Does Council District 4 have a regular meeting? If so, how would you feel about having a volunteer visit to present and answer questions about these measures for 10-20 minutes (or more)? If you don't have regular meetings, we could co-host an info session for neighbors. ","Good afternoon Aidan, 

Thank you for reaching out to our office. We do not have regular District 4 meetings but you bare free to reach out to HOAs and RNOs in our district to see if they'd be interested in a presentation!",Staff1,,,Animal
Daniel,,daniel@email.com,0,2024-09-27,"When are you going to stand up to Mayor Mike and demand we have mandatory drug rehabilitation for those who are living on the streets and openly doing drugs? If they don’t want to have rehabilitation then the city should pay for a bus ticket to another state. I’m saddened seeing people actively killing themselves with drugs while the city counsel sits back and allows it. Drug rehabilitation, bus ticket or jail. How many more people need to die?","Good afternoon Daniel. 

Thank you for reaching out to our office. Councilwoman Romero Campbell will continue to advocate for rehabilitation sites for Coloradoans however the city does not have the authority to force people to participate. The city also does not have the authority to forcefully remove people from the state due to drug use. What we can do is continue to report cases of known drug use, areas of frequent drug use and so on to the Police Department so they can investigate and enforce the law. Please let me know if you have further questions. Thank you.",Staff1,"I appreciate you reaching out with a quick response. I’m a bit unclear on some things you have said below. Could you please explain to me why Denver could not use C.R.S. 27-81-111 to force emergency commitment? And then from there have the provider overseeing the patient then pursue C.R.S. 27-81-112 if the person needs more time? Unfortunately, these are not the drugs of the 80s and are extremely difficult to come off of without extreme intervention and rehabilitation. Upon their release is when housing should be offered. Housing without this clearly isn’t working. Thank you in advance for any further information. ","Good afternoon Daniel, 

The Police Department as well as the Street Engagement Team makes first contact with unhoused Coloradoans and these contact approaches could differ. The Police Department is authorized under C.R.S. 27-81-111, to make contact with a person needing emergent attention i.e. overdosing amongst many other emergent situations needing immediate intervention. Simply being unhoused does not qualify someone to be admitted into a facility. If the police makes contact with an unhoused resident who actively has drugs on his/her person, they will be arrested and evaluated to see if further action needs to be taken for their well-being. DPD cannot act on speculation and can only act when people are caught in the act or are experiencing an emergency. 

C.R.S. 27-81-112 is enforced by the courts and again it is at the discretion of the city attorney and their office how to proceed with reports/cases involving unhoused residents. You can reach out to their office to ask what their approach is when dealing with unhoused residents who have been charged with possession of drugs. Keep in mind that the city attorney works within the courts systems and a judge makes the final ruling.

Again, to your previous questions, Councilwoman Romero Campbell will continue to advocate for rehabilitation sites for Coloradoans however the city does not have the authority to force people to participate unless there is an emergency/threat to society. This is true for both housed and unhoused residents who use drugs. The city also does not have the authority to forcefully remove people from the state due to drug use. Further questions regarding C.R.S. 27-81-111 or C.R.S. 27-81-112, please reach out to the appropriate agencies so they can better explain how they enforce these statues. ",Police
Wendy,Hampden & Tamarac/Yosemite,wendy@email.com,0,2024-10-01,"Please tell me if the south-side sidewalk on Hampden between Tamarac & Yosemite is in your jurisdiction.  If not, who would I contact about the weeds and crumbling concrete? Thank you!","Thank you for reaching out to our office with your concerns for this section of sidewalk along Hampden.  Under the old sidewalk ordinance, the homeowners and Excel energy and businesses are responsible for the upkeep of the sidewalk.  The city enforced the ordinance with Excel and the businesses, but the homeowners are exempt because they cannot access this section of sidewalk from their backyards since there are no gates onto Hampden.  Under the new sidewalk ordinance, the city will be responsible for the maintenance of the sidewalk (the businesses will still be responsible to keep the sidewalk clear of weeds and snow).  I will let our area engineer team know about the condition of the sidewalk and they can look to see if it needs repaired/rep[laced.  I will also report the weeds to the city neighborhood inspectors.  ",Staff2,,,"Neighborhood,Vegitation"
Lisa,Hampden & Tamarac,lisa@email.com,0,2024-10-01,"I wanted to express a concern about the window washers that are present nearly every day on Hampden and Tamarac.  As I'm sure you've experienced, I have had multiple interactions with the individuals who work that corner.  My go-to response when approached has been to honk my horn, as they do not take no for an answer.  Yesterday when I did this the young man became angry and started yelling at me, which was a first.  The first time they approached I called the non-emergency police line and was told that the people were coming from the shelter and that there was nothing that could be done.   I'm concerned for the safety of our residents and their cars, as well as the people who are putting themselves in harm's way in the middle of the street.  If there is some way I can contribute to the solution, please let me know.  I appreciate your hard work  in our community.","Good afternoon Lisa, 

Thank you for reaching out to our office. I apologize for the encounter you had on Hampden and Tamarac. Our office has received calls regarding the situation and we have flagged the issue for DPD to continue to monitor. The window washing incidents have popped up around the city and we are not able to link it to the family shelter in our district. If you happen to make contact with them again and they get aggressive or cause damages to your property, please call 911 and wait to file a police report if you can. This assists the police tremendously in keeping records against persons who are creating unsafe environments. Please let me know if you have further questions. ",Staff1,,,"Homeless,Police,Vehicle"
Julia,3294 S Niagara,julia@email.com,0,2024-10-01,We are worried about the Colorado Blvd closing 2 lanes!  This would be like the mess on Broadway which the bike lanes are rarely used!  People are never going to give up their cars;  Colo.  Blvd.  and will be even more congested!  Thank you for forcing the city to account for every penny spent!  There are no secrets city of Denver!  You can’t hide or cover up money spent on foolish things.  ,"Thank you for reaching out to our office with your thoughts on the Colorado Blvd Bus Rapid Transit project, and I will share them with Councilwoman Romero Campbell.  I have attached a fact sheet for more information about the project and here is the CDOT website with more information on the timeline, public outreach and contact information, https://www.codot.gov/projects/studies/denvermetrobrt/coloradoblvd . I encourage you to go the CDOT’s website and share your thoughts and concerns.  Colorado Blvd is one of RTD’s highest ridership bus routes.  This is why Colorado Blvd was selected for BRT.  The plan is in its initial design phase and they are still gathering stakeholder input.
",Staff2,,,"Transit,Vehicle"
Mike,Tiffany Plaza,mike@email.com,0,2024-10-01,"I hope this message finds you well. I wanted to reach out regarding the vacant businesses in Tiffany Plaza that once served our community. It’s disheartening to see so many empty spaces, especially considering the challenges many businesses face. One idea that could benefit both the community and the plaza is converting the former 24 Hour Fitness into a Denver Rec Center. There's a notable lack of public recreation facilities in the area, with Cook Park being the nearest option, and it tends to get quite crowded. The existing gym facilities and indoor pool at that location could be a great fit for a community center. I would love to hear your thoughts on this idea!","Thank you for reaching out to our office.  Councilwoman Romero Campbell had conversations with the Denver Chamber of Commerce and Denver’s Department of Economic Opportunity (DEDO) advocating to bring businesses to southeast Denver.  The properties are privately owned, and she has reached out to the owners/property managers for any updates and she was assured that they are listed and they are looking for businesses to lease those properties.  

The closed 24 Hour Fitness cannot be converted to a rec center for many reasons; the foundation under the pool is severely damaged and would take extensive repair to get it up to safety and operational standards and the city does not own the property and would not be able to put the kind of money needed for a rec center into a leased building.  ",Staff2,,,Parks
Neil,201 Steele Street,neil@email.com,0,2024-10-01,"Please see the attached article.  If this happens, the businesses on Colorado Boulevard would be devastated, city sales tax revenues will drop, adjoining Denver neighborhoods would receive unwanted traffic and driving on Colorado Boulevard (Denver's primary north-south artery) would be MUCH MUCH worse than it is today.  I live near Colorado Boulevard, and I am totally opposed to RTD destroying my neighborhood in an unsuccessful attempt to improve their infrequently ridden Colorado Boulevard buses.  Please help stop this debacle from happening!  ","Thank you for reaching out to our office with your thoughts on the Colorado Blvd Bus Rapid Transit project, and I will share them with Councilwoman Romero Campbell.  I have attached a fact sheet for more information about the project and here is the CDOT website with more information on the timeline, public outreach and contact information, https://www.codot.gov/projects/studies/denvermetrobrt/coloradoblvd . Colorado Blvd is one of RTD’s highest ridership bus routes.  This is why Colorado Blvd was selected for BRT.  

I noticed in your email signature that your office (I assume) is located on 2nd and Steele in Cherry Creek.  If you have specific concerns about this project affecting your location, please reach out to Councilwoman Sawyer, who represents District 5, DenverCouncil5@denvergov.org.  She was very successful in advocating for more funding to support businesses along Colfax, the first BRT project in Denver, during construction, which starts tomorrow.",Staff2,,,"Neighborhood,Policy,Transit"
Mark,8080 E Dartmouth Ave,mark@email.com,0,2024-10-03,"I am writing this note in frustration from what I am seeing with current city policy or actions.

1.  Trash pick up - it is now becoming routine for one of the trash services to NOT be picked up as scheduled.  This is new and also without notice as to why.  In addition we now pay directly for the service, but actually get less.  This is unacceptable.  Why?  Are monies being taken from Peter to pay Paul?  Our HOA is now in the act as well.  We face potential fines if containers are left out past the date for scheduled pick up.  The city doesn’t do its job so now I potentially get punished for it.

2.  Homeless - A national problem.  From what I can determine Denver has spent hundreds of millions of dollars to fix this and is now over budget.  [Does this relate to above?]  So it appears we have damaged the fiscal budget and the problem intended to be fixed is still with us.  This just seems to be questionable leadership and management by all involved.

3.  Public Areas, Parks - I have noticed that the upkeep of public spaces also seems to have been reduced this year.  Some parkways have become overgrown prior to being cut.  I don’t remember this happening to this degree in the past and so it too begs the question - is this a lack of leadership, planning?
A subset of this is on Cornell on the south side of Bible Park.  The cross-over to the parking lot is becoming more of a pedestrian hazard due to the grass on either side of the sidewalk getting just one lawnmower width pass when cut.  The result is becoming more of an eyesore and more importantly it is difficult to see pedestrians cross.  Compounding this is an overgrown tree that when driving east basically blocks all visibility of those crossing from the park.
I recommend that the tree be removed for public safety and next year when the grass is cut along the south end of the park along Cornell to cut ALL of it and not just one pass of the lawnmower.  The cost can't be that prohibitive and it would result in a safer area for drivers and pedestrians.

4.  Bike Paths - I am in total support of bike paths and providing alternative transportation options.  That said, when I see up to 1/3 of a roadway used for a bike path it doesn’t pass the common sense test.  Some paths are as wide as the car lanes.  Near me I see lines painted supposedly for parked cars curbside and then another line for the bike path.  Common sense dictates if riding a bike and a car is parked at the curb you would ride around it and return to your lane.  Making an additional lane in this case is unnecessary.  The result is the loss of more roadway.  When I ride my bike I don’t need the same width as a car, my bike is much smaller in width.

Lastly, in general the topics mentioned above are not new.  What is new is the decline in basic service from this administration.  It concerns me when I see over-runs in budgets; it concerns me when services that have routinely been provided are being cut back; it concerns me when it seems common sense isn’t applied to public policy.  As a taxpayer I support the initiatives above, I don’t support what appears to be poor management or leadership on the part of our city administrators.","Good after Mark,

Thank you for reaching out to our office. 

If you are having trouble with your trash being picked up every week, please call 311 and report the incident as this leave a case for our office track to be able to see on our end why =the trash was not pick up that week. You can also download the Denver trash app that updates you when the trash trucks are not able to pick up your load on the designated day. 

Addressing homelessness is one of the Mayor Office's initiative and his policy analysts would be the best people to explain to you how this initiative impacted the 2024 budget as well as where it stands in the 2025 city budget. You can reach his office via 720-865-9000. 

The department of parks and recreation work all year round to ensure that the parks and recreation centers are properly kept and irrigated. Areas that are needing extra attention and care can be reported to our office so we can advocate for those areas to be visited and worked on. You can also report the areas to 311 so the parks team can address the issue.

The department of DOTI engineers are able to explain why there are different kinds of bike lanes around the city. Are you able to leave the address of the area you are specifically talking about? You can also report this to 311 and a DOTI engineer will be able to contact you to inform you as to why the street you are talking about is designed that way. Thank you. ",Staff1,,,"Trash,Policy,Vehicle,Transit,Parks,Neighborhood,Vegitation,Parking"
